,emp_id,dishes_name
0,1248,西瓜胡萝卜沙拉
1,1248,麻辣小龙虾
2,1248,农夫山泉NFC果汁100%橙汁
3,1248,番茄炖牛腩
5,1248,凉拌菠菜
6,1538,芝士烩波士顿龙虾
7,1538,麻辣小龙虾
8,1538,姜葱炒花蟹
9,1538,水煮鱼
10,1538,百里香奶油烤紅酒牛肉
11,1538,香菇鹌鹑蛋
12,1538,拌土豆丝
13,1538,焖猪手
14,1538,53度茅台
15,1538,路易拉菲红酒干红
16,1538,意文柠檬汁
17,1538,蛋挞
18,1538,黄油曲奇饼干
20,1538,香菇鸡肉粥
44,986,水煮鱼
45,986,葱姜炒蟹
46,986,啤酒鸭
47,986,百威啤酒罐装
48,986,大理石奶油蛋糕
58,990,芝士烩波士顿龙虾
59,990,凉拌菠菜
60,990,核桃葡萄干土司
61,990,倒立蒸梭子蟹
62,990,番茄甘蓝
63,1539,红酒炖羊肉
64,1539,辣炒鱿鱼
65,1539,姜葱炒花蟹
66,1539,凉拌菠菜
67,1539,桂圆枸杞鸽子汤
68,1539,黄花菜炒木耳
69,1539,黄尾袋鼠西拉子红葡萄酒
70,1539,蛋挞
71,1539,黑米恋上葡萄
72,1539,黄油曲奇饼干
73,1539,皮蛋瘦肉粥
82,1590,油焖麻辣虾
83,1590,海带结豆腐汤
84,1590,凉拌菠菜
85,1590,爆炒双丝
86,1590,香烤牛排
88,1590,小米南瓜粥
89,1590,咖啡奶香面包
90,1486,麻辣小龙虾
91,1486,香菇鹌鹑蛋
92,1486,焖猪手
93,1486,葱油凉拌藕片
94,1486,百威啤酒罐装
95,1486,桂圆肉红豆八宝饭
96,1486,五色糯米饭(七色)
97,1017,芝士烩波士顿龙虾
98,1017,姜葱炒花蟹
99,1017,剁椒鱼头
100,1017,辣炒田螺
101,1017,不加一滴油的酸奶蛋糕
102,1017,木须豌豆
103,1017,酸辣汤面
104,1141,蒜香辣花甲
105,1141,桂圆枸杞鸽子汤
106,1141,照烧鸡腿
107,1141,青炒扁豆
108,994,党参黄芪炖牛尾
109,994,辣炒鱿鱼
110,994,照烧鸡腿
111,994,青炒扁豆
112,994,谷稻小庄
114,992,番茄蛋汤
115,992,凉拌菠菜
117,992,蛋挞
118,992,清蒸海鱼
119,992,重庆特色油烧兔
120,1023,培根紫菜卷
121,1023,麻辣小龙虾
